#tstp   Ax    Ay
-1  0  0
0  2.14805e-05  2.14805e-05
1  2.14795e-05  2.14795e-05
2  2.14533e-05  2.14533e-05
3  2.14004e-05  2.14004e-05
4  2.1319e-05  2.1319e-05
5  2.12076e-05  2.12076e-05
6  2.10643e-05  2.10643e-05
7  2.08874e-05  2.08874e-05
8  2.0675e-05  2.0675e-05
9  2.04251e-05  2.04251e-05
10  2.01356e-05  2.01356e-05
11  1.98045e-05  1.98045e-05
12  1.94295e-05  1.94295e-05
13  1.90083e-05  1.90083e-05
14  1.85386e-05  1.85386e-05
15  1.80178e-05  1.80178e-05
16  1.74435e-05  1.74435e-05
17  1.68129e-05  1.68129e-05
18  1.61233e-05  1.61233e-05
19  1.53719e-05  1.53719e-05
20  1.45555e-05  1.45555e-05
21  1.36713e-05  1.36713e-05
22  1.2716e-05  1.2716e-05
23  1.16862e-05  1.16862e-05
24  1.05787e-05  1.05787e-05
25  9.3897e-06  9.3897e-06
26  8.11572e-06  8.11572e-06
27  6.75291e-06  6.75291e-06
28  5.29735e-06  5.29735e-06
29  3.74497e-06  3.74497e-06
30  2.09158e-06  2.09158e-06
31  3.32852e-07  3.32852e-07
32  -1.53572e-06  -1.53572e-06
33  -3.51875e-06  -3.51875e-06
34  -5.62105e-06  -5.62105e-06
35  -7.84755e-06  -7.84755e-06
36  -1.02034e-05  -1.02034e-05
37  -1.26938e-05  -1.26938e-05
38  -1.53242e-05  -1.53242e-05
39  -1.81003e-05  -1.81003e-05
40  -2.10279e-05  -2.10279e-05
41  -2.41128e-05  -2.41128e-05
42  -2.73614e-05  -2.73614e-05
43  -3.078e-05  -3.078e-05
44  -3.4375e-05  -3.4375e-05
45  -3.81534e-05  -3.81534e-05
46  -4.2122e-05  -4.2122e-05
47  -4.6288e-05  -4.6288e-05
48  -5.06589e-05  -5.06589e-05
49  -5.52422e-05  -5.52422e-05
50  -6.00458e-05  -6.00458e-05
51  -6.50777e-05  -6.50777e-05
52  -7.03463e-05  -7.03463e-05
53  -7.58601e-05  -7.58601e-05
54  -8.16279e-05  -8.16279e-05
55  -8.76588e-05  -8.76588e-05
56  -9.3962e-05  -9.3962e-05
57  -0.000100547  -0.000100547
58  -0.000107424  -0.000107424
59  -0.000114603  -0.000114603
60  -0.000122094  -0.000122094
61  -0.000129908  -0.000129908
62  -0.000138056  -0.000138056
63  -0.00014655  -0.00014655
64  -0.0001554  -0.0001554
65  -0.000164619  -0.000164619
66  -0.000174218  -0.000174218
67  -0.000184211  -0.000184211
68  -0.000194611  -0.000194611
69  -0.000205429  -0.000205429
70  -0.000216681  -0.000216681
71  -0.00022838  -0.00022838
72  -0.000240539  -0.000240539
73  -0.000253174  -0.000253174
74  -0.0002663  -0.0002663
75  -0.000279932  -0.000279932
76  -0.000294085  -0.000294085
77  -0.000308776  -0.000308776
78  -0.00032402  -0.00032402
79  -0.000339836  -0.000339836
80  -0.00035624  -0.00035624
81  -0.00037325  -0.00037325
82  -0.000390884  -0.000390884
83  -0.000409161  -0.000409161
84  -0.000428098  -0.000428098
